vend_lon,vend_lat
-118.2563587,34.0356499
-118.2430838,33.9601561
-118.2198569,34.0242873
-118.2739904,34.0010632
-118.28363,34.043701
-118.1759041,34.040568
-118.2914967,33.9891267
-118.3286614,34.0928092
-118.2555069,34.039786
-118.2517677,34.0329206
-118.3531311,33.9616801
-118.2517828,34.0487969
-118.2605574,34.0781593
-118.1914218,34.0405038
-118.2088996,34.0472948
-118.2114603,33.930293
-118.3779393,34.0351392
-118.2203911,34.0664372
-118.2441601,34.032051
-118.3718785,34.0641069
-118.2540639,33.9494786
-118.2598891,34.0493961
-118.3627119,34.1648551
-118.2242283,33.9529758
-118.2117257,34.0297895
-118.2441601,34.032051
-118.3812562,34.187044
-118.2517828,34.0487969
-118.2540762,33.9481764
-118.2540762,33.9481764
-118.3627119,34.1648551
-118.2436596,34.0522265
-118.3228165,34.0686748
-118.2832823,34.0593754
-118.3228165,34.0686748
-118.2769106,34.0446482
-118.2441601,34.032051
-118.2436596,34.0522265
-118.2078339,34.0488273
-118.2540639,33.9494786
-118.1669736,34.0224417
-118.3559543,34.048436
-118.2832823,34.0593754
-118.1514588,33.9652918
-118.2739904,34.0010632
-118.2556127,34.0361
-118.2452073,34.0455657
-118.4911912,34.0194543
-118.3286614,34.0928092
-118.2736649,34.0589914
-118.3003843,34.0617479
-118.4911912,34.0194543
-118.2670296,34.0651963
-117.144553,32.7341479
-118.1937243,33.7898474
-118.2908909,34.0924282
-118.3603699,34.0720115
-118.4243333,34.2856134
-118.3009157,34.0577067
-118.243858,34.031979
-118.2565086,34.0057592
-118.2436596,34.0522265
-118.24382,34.032257
-118.2490831,34.0385125
-118.24382,34.032257
-118.2897732,34.0980333
-118.2481287,33.9744592
-118.2481287,33.9744592
-118.2573698,34.0767682
-118.1445155,34.1477849
-118.291779,34.059505
-118.2441601,34.032051
-118.2436596,34.0522265
-118.1597911,33.8894598
-118.2832823,34.0593754
-118.2694571,34.06845
-118.2200712,33.8958492
-118.2914872,33.9891116
-118.2741978,34.0492004
-118.2436596,34.0522265
-118.2232829,34.0907416
-118.2928737,33.7160824
-118.4243333,34.2856134
-118.4596221,34.0507668
-118.2694571,34.06845
-118.1937395,33.7700504
-118.1997729,34.0191977
-118.2564899,34.0011123
-118.2908909,34.0924282
-118.2556127,34.0361
-118.2275527,33.9743269
-118.2559374,34.0359297
-118.496399,34.012951
-118.4960063,34.0099215
-118.2739662,33.996523
-118.2637951,34.0177004
-118.2481287,33.9744592
-117.9686755,33.9930677
-118.2695439,33.9684857
-118.2517828,34.0487969
-118.217619,34.0511998
-118.2441601,34.032051
-118.230073,34.003903
-118.4571974,34.3058279
-118.237889,34.058229
-118.2803015,34.0640709
-118.2702767,34.0311432
-118.2789735,34.0617061
-118.1445155,34.1477849
-118.4911912,34.0194543
-118.2200712,33.8958492
-118.2476729,33.9747453
-117.9867278,34.0538688
-118.2892349,34.0442532
-118.246346,33.945438
-118.2771361,34.0560058
-118.3009056,34.0544888
-118.2892349,34.0442532
-118.3578575,34.0574841
-118.2914872,33.9891116
-118.2922461,33.7360619
-118.2436596,34.0522265
-118.340257,34.1017052
-118.3089893,34.0333119
-118.2832823,34.0593754
-118.3286614,34.0928092
-117.7499909,34.055103
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2702036,34.0869409
-118.2250725,33.9816812
-118.4911912,34.0194543
-118.2411915,34.0503318
-118.278648,34.066269
-118.317711,34.0188775
-118.2739904,34.0010632
-118.2436596,34.0522265
-118.2739904,34.0010632
-118.2701313,34.0668253
-118.1331593,33.9401088
-118.2739904,34.0010632
-118.27836,34.0042557
-118.2832823,34.0593754
-118.2549866,34.0388915
-118.2243561,33.8959581
-118.2436596,34.0522265
-118.2533364,34.0337103
-118.2739904,34.0010632
-118.3090593,34.0472021
-118.2917471,33.9746253
-118.291674,34.0617915
-118.2385276,34.0274506
-118.2522071,34.0352439
-118.2625946,34.033613
-118.2586728,33.9992911
-118.2965579,34.0577297
-118.4516597,34.2354329
-118.4171385,34.0128507
-118.2114603,33.930293
-118.3090593,34.0472021
-118.293753,33.9986978
-118.3303478,33.9744393
-72.5778415,44.5588028
-118.4516597,34.2354329
-118.2914914,33.9891282
-118.2965579,34.0577297
-118.3812562,34.187044
-118.282837,33.952972
-118.451357,34.1898566
-118.3002745,34.0327341
-118.2803015,34.0640709
-118.2452073,34.0455657
-118.2917508,34.0560856
-118.300178,34.069142
-72.5778415,44.5588028
-118.2441601,34.032051
-118.298471,34.0591001
-118.4694832,33.9850469
-118.2157035,34.0343693
-118.2739814,33.9983329
-118.3277045,34.101973
-118.1786407,34.0735812
-118.3238889,34.0730556
-118.2572394,34.0345652
-118.2739904,34.0010632
-118.442425,34.227617
-118.2114603,33.930293
-118.2517828,34.0487969
-118.293753,33.9986978
-118.2517828,34.0487969
-118.2988901,34.066921
-118.3132612,34.0108553
-118.2832823,34.0593754
-118.3002273,34.0218843
-118.465567,34.2142703
-118.2794275,34.0584285
-118.274882,34.0595353
-118.442425,34.227617
-118.3611912,34.2763908
-118.2908909,34.0924282
-118.2915422,34.0725505
-118.2922189,34.0837126
-118.3525752,33.9380695
-118.2832823,34.0593754
-118.2739228,33.924394
-118.290865,34.0620432
-118.2436596,34.0522265
-118.4911912,34.0194543
-118.2436596,34.0522265
-118.1937395,33.7700504
-118.0467339,34.0519548
-118.2436596,34.0522265
-118.2832823,34.0593754
-117.9495083,34.0200114
-118.2477677,33.9893489
-118.1996502,34.0598061
-118.0275667,34.0686206
-118.1870454,34.0405202
-118.2763288,34.0527539
-118.2763288,34.0527539
-117.9608978,34.0852868
-118.2476729,33.9747453
-117.9608978,34.0852868
-118.2203911,34.0664372
-118.2914967,33.9891267
-118.2914967,33.9891267
-118.2832823,34.0593754
-118.2914967,33.9891267
-118.2914967,33.9891267
-118.2916343,34.0559152
-72.5778415,44.5588028
-118.2517828,34.0487969
-118.2892349,34.0442532
-118.4911912,34.0194543
-118.2436596,34.0522265
-118.3286614,34.0416097
-118.3666715,34.051546
-118.2840345,34.0473939
-118.2436596,34.0522265
-118.2922461,33.7360619
-118.2759085,34.0579283
-118.2937583,34.000628
-118.2436596,34.0522265
-118.1669736,34.0224417
-118.1541632,34.6867846
-118.2937583,34.000628
-118.270582,34.0587741
-118.3003349,33.9290286
-118.205311,34.0457079
-118.4872956,34.232034
-118.2937583,34.000628
-118.2639556,34.0449948
-118.3009056,34.0544888
-118.2922461,33.7360619
-118.250223,34.0339683
-118.4596221,34.0507668
-118.2639556,34.0449948
-118.2114603,33.930293
-118.5220998,34.2358245
-118.3009558,34.078864
-118.2436596,34.0522265
-118.278091,34.054893
-118.4389719,34.2819461
-118.2897526,34.0850995
-118.1937395,33.7700504
-118.1668495,34.058243
-118.2922461,33.7360619
-118.5220998,34.2358245
-118.317711,34.0188775
-118.2832823,34.0593754
-118.317711,34.0188775
-118.3286614,34.0928092
-118.317711,34.0188775
-118.3286614,34.0928092
-118.317711,34.0188775
-118.2908909,34.0924282
-118.2908909,34.0924282
-118.2908909,34.0924282
-118.2908909,34.0924282
-118.2908909,34.0924282
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2908909,34.0924282
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.5010942,34.2010832
-118.4389719,34.2819461
-118.5030111,34.1735984
-118.5010942,34.2010832
-118.4065964,34.2688725
-118.4104684,34.2767691
-118.322578,34.1192443
-118.322578,34.1192443
-118.322578,34.1192443
-118.2522071,34.0352439
-118.322578,34.1192443
-118.2522071,34.0352439
-118.2565086,34.0057592
-118.2522071,34.0352439
-118.2565086,34.0057592
-118.2522071,34.0352439
-118.5220998,34.2358245
-118.2522071,34.0352439
-118.2522071,34.0352439
-118.2522071,34.0352439
-118.2556127,34.0361
-118.2556127,34.0361
-118.3286614,34.0928092
-118.5220998,34.2358245
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.3286614,34.0928092
-118.4104684,34.2767691
-118.4393086,34.2353472
-118.5220998,34.2358245
-118.5220998,34.2358245
-118.2739904,34.0010632
-118.2565086,34.0057592
-118.2565086,34.0057592
-118.2565086,34.0057592
-118.5220998,34.2358245
-118.2922461,33.7360619
-118.2922461,33.7360619
-118.2922461,33.7360619
-118.2922461,33.7360619
-118.2908909,34.0924282
-118.2908909,34.0924282
-118.2908909,34.0924282
-118.2908909,34.0924282
-118.5024979,34.2415711
-118.2908909,34.0924282
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.3092362,33.9932634
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2920317,34.0904958
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.5220998,34.2358245
-118.2739904,34.0010632
-118.5010942,34.2010832
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2908909,34.0924282
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.5010942,34.2010832
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2763288,34.0527539
-118.2739904,34.0010632
-118.5220998,34.2358245
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.3531311,33.9616801
-118.2739904,34.0010632
-118.2920317,34.0904958
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2146789,34.6839579
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.1669736,34.0224417
-118.2565086,34.0057592
-118.2922461,33.7360619
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2922461,33.7360619
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.3718785,34.0641069
-118.2739904,34.0010632
-118.2436596,34.0522265
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2565086,34.0057592
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2919728,33.9273309
-118.2763288,34.0527539
-118.3286614,34.0928092
-118.2739814,33.9983329
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.2922461,33.7360619
-118.4911912,34.0194543
-118.2922461,33.7360619
-118.1669736,34.0224417
-118.2908909,34.0924282
-118.2908909,34.0924282
-118.1669736,34.0224417
-118.4104684,34.2767691
-118.2522071,34.0352439
-118.5220998,34.2358245
-118.1669736,34.0224417
-118.2908909,34.0924282
-118.5220998,34.2358245
-118.5220998,34.2358245
-118.2739904,34.0010632
-118.2522071,34.0352439
-118.1669736,34.0224417
-118.2739904,34.0010632
-118.1669736,34.0224417
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.5220998,34.2358245
-118.2739904,34.0010632
-118.3089711,34.101482
-118.2908909,34.0924282
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2739904,34.0010632
-118.2914872,33.9891116
-118.5220998,34.2358245
-118.2739904,34.0010632
-118.3173118,34.0671465
-118.2739904,34.0010632
-118.2908909,34.0924282
-118.2914872,33.9891116
-118.2739904,34.0010632
-118.1669736,34.0224417
-118.1201796,33.8593768
-118.2739904,34.0010632
-118.2522071,34.0352439
-118.2739904,34.0010632
-118.1669736,34.0224417
-118.2916674,34.0604068
-118.1669736,34.0224417
-118.2232829,34.0907416
-118.2914872,33.9891116
-118.2922461,33.7360619
-118.1669736,34.0224417
-118.2922461,33.7360619
-118.2605574,34.0781593
-118.2563587,34.0356499
-118.2739904,34.0010632
-118.1669736,34.0224417
-118.2908909,34.0924282
-118.2965579,34.0577297
-118.1669736,34.0224417
-118.2832823,34.0593754
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.2922461,33.7360619
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.4104684,34.2767691
-118.2763288,34.0527539
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.2436596,34.0522265
-118.3286614,34.0928092
-118.2832823,34.0593754
-118.1937395,33.7700504
-118.1669736,34.0224417
-118.2522071,34.0352439
-118.1669736,34.0224417
-118.2436596,34.0522265
-118.2436197,33.9671978
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.2914872,33.9891116
-118.2565086,34.0057592
-118.2763288,34.0527539
-118.5220998,34.2358245
-118.5220998,34.2358245
-118.1669736,34.0224417
-118.3009157,34.0577067
-118.5010942,34.2010832
-118.5010942,34.2010832
-118.3009157,34.0577067
-118.2908909,34.0924282
-118.2522071,34.0352439
